Имя	Группа	Профиль	Включено	Действие	Частота	Программа	Локальный адрес	Удаленный адрес	Протокол	Локальный порт	Удаленный порт	Авторизованные пользователи	Разрешенные компьютеры	Авторизованные локальные субъекты	Локальный пользователь-владелец	Пакет приложения	
HNS Container Networking - DNS (UDP-In) - 0A19C818-D724-4051-AA85-13F258F34C02 - 0		Все	Да	Разрешить	Нет	Любой	Любой	Любой	UDP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - DNS (UDP-In) - 3F42EB6F-197D-4F7B-A252-5C5129E5DB80 - 0		Все	Да	Разрешить	Нет	Любой	Любой	Любой	UDP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - DNS (UDP-In) - 53BEC6D0-533B-43AC-8709-0A59FF94C799 - 0		Все	Да	Разрешить	Нет	Любой	Любой	Любой	UDP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - DNS (UDP-In) - 5D88C5B5-4963-4B48-A2F1-F5380802DF7C - 0		Все	Да	Разрешить	Нет	Любой	Любой	Любой	UDP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - DNS (UDP-In) - 82B07DAA-9DFB-43AA-8D06-D2E23DE10159 - 0		Все	Да	Разрешить	Нет	Любой	Любой	Любой	UDP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - DNS (UDP-In) - B7C3E86F-ED7B-4F6A-B645-8EA00A9102E6 - 0		Все	Да	Разрешить	Нет	Любой	Любой	Любой	UDP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - DNS (UDP-In) - FF06B693-E244-4235-B072-E91F381C8DA7 - 0		Все	Да	Разрешить	Нет	Любой	Любой	Любой	UDP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - DNS (UDP-In) - FFD05249-93A3-48A2-8F62-FBEABCCFBF83 - 0		Все	Да	Разрешить	Нет	Любой	Любой	Любой	UDP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - ICS DNS (TCP-In) - 0A19C818-D724-4051-AA85-13F258F34C02 - 0		Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - ICS DNS (TCP-In) - 3F42EB6F-197D-4F7B-A252-5C5129E5DB80 - 0		Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - ICS DNS (TCP-In) - 53BEC6D0-533B-43AC-8709-0A59FF94C799 - 0		Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - ICS DNS (TCP-In) - 5D88C5B5-4963-4B48-A2F1-F5380802DF7C - 0		Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - ICS DNS (TCP-In) - 82B07DAA-9DFB-43AA-8D06-D2E23DE10159 - 0		Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - ICS DNS (TCP-In) - B7C3E86F-ED7B-4F6A-B645-8EA00A9102E6 - 0		Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - ICS DNS (TCP-In) - FF06B693-E244-4235-B072-E91F381C8DA7 - 0		Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	53	Любой	Любой	Любой	Любой	Любой	Любой	
HNS Container Networking - ICS DNS (TCP-In) - FFD05249-93A3-48A2-8F62-FBEABCCFBF83 - 0		Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	53	Любой	Любой	Любой	Любой	Любой	Любой	
IIS Express Worker Process		Общий	Да	Разрешить	Нет	C:\program files (x86)\iis express\iisexpress.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
IIS Express Worker Process		Общий	Да	Разрешить	Нет	C:\program files (x86)\iis express\iisexpress.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
IntelliJ IDEA		Общий	Да	Разрешить	Нет	C:\program files\jetbrains\intellij idea 2020.2\bin\idea64.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
IntelliJ IDEA		Общий	Да	Разрешить	Нет	C:\program files\jetbrains\intellij idea 2020.2\bin\idea64.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Java(TM) Platform SE binary		Общий	Да	Блокировать	Нет	C:\program files\java\jdk1.8.0_212\bin\javaw.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Java(TM) Platform SE binary		Общий	Да	Блокировать	Нет	C:\program files\java\jdk1.8.0_212\bin\javaw.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Node.js: Server-side JavaScript		Общий	Да	Разрешить	Нет	C:\program files (x86)\brackets\node.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Node.js: Server-side JavaScript		Общий	Да	Разрешить	Нет	C:\program files (x86)\brackets\node.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
remoteserver.exe		Общий	Да	Разрешить	Нет	C:\users\maks\downloads\sdk2.0\sdk2.0\remoteserver\bin\debug\remoteserver.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
remoteserver.exe		Общий	Да	Разрешить	Нет	C:\users\maks\downloads\sdk2.0\sdk2.0\remoteserver\bin\debug\remoteserver.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
remoteserver.exe		Общий	Да	Разрешить	Нет	C:\users\maks\downloads\controlertablo-sdk\controlertablo-sdk_2.0-master\remoteserver\bin\debug\remoteserver.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
remoteserver.exe		Общий	Да	Разрешить	Нет	C:\users\maks\downloads\controlertablo-sdk_2.0-master (2)\controlertablo-sdk_2.0-master\remoteserver\bin\debug\remoteserver.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
remoteserver.exe		Общий	Да	Разрешить	Нет	C:\users\maks\downloads\controlertablo-sdk_2.0-master (2)\controlertablo-sdk_2.0-master\remoteserver\bin\debug\remoteserver.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
remoteserver.exe		Общий	Да	Разрешить	Нет	C:\users\maks\downloads\controlertablo-sdk\controlertablo-sdk_2.0-master\remoteserver\bin\debug\remoteserver.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
remoteserver.exe		Общий	Да	Разрешить	Нет	C:\users\maks\downloads\sdk2.0\remoteserver\bin\debug\remoteserver.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
remoteserver.exe		Общий	Да	Разрешить	Нет	C:\users\maks\downloads\sdk_fullcolor-1\sdk2.0\remoteserver\bin\debug\remoteserver.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
remoteserver.exe		Общий	Да	Разрешить	Нет	C:\users\maks\downloads\sdk_fullcolor-1\sdk2.0\remoteserver\bin\debug\remoteserver.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
remoteserver.exe		Общий	Да	Разрешить	Нет	C:\users\maks\downloads\sdk2.0\remoteserver\bin\debug\remoteserver.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
tablo.exe		Общий	Да	Разрешить	Нет	C:\users\maks\downloads\wpf-template-master\wpf-template-master\template\bin\debug\tablo.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
tablo.exe		Общий	Да	Разрешить	Нет	C:\users\maks\downloads\wpf-template-master\wpf-template-master\template\bin\debug\tablo.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
teams.exe		Частный	Да	Разрешить	Нет	C:\users\maks\appdata\local\microsoft\teams\current\teams.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
teams.exe		Общий	Да	Блокировать	Нет	C:\users\maks\appdata\local\microsoft\teams\current\teams.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
teams.exe		Частный	Да	Разрешить	Нет	C:\users\maks\appdata\local\microsoft\teams\current\teams.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
teams.exe		Общий	Да	Блокировать	Нет	C:\users\maks\appdata\local\microsoft\teams\current\teams.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Teamviewer Remote Control Application		Общий	Да	Разрешить	Нет	C:\Program Files (x86)\TeamViewer\TeamViewer.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Teamviewer Remote Control Application		Общий	Да	Разрешить	Нет	C:\Program Files (x86)\TeamViewer\TeamViewer.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Teamviewer Remote Control Service		Общий	Да	Разрешить	Нет	C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Teamviewer Remote Control Service		Общий	Да	Разрешить	Нет	C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Unity Hub		Домен	Да	Разрешить	Нет	E:\Program Files\Unity Hub\Unity Hub.exe	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Unity Hub		Общий	Да	Разрешить	Нет	E:\program files\unity hub\unity hub.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Unity Hub		Общий	Да	Разрешить	Нет	E:\program files\unity hub\unity hub.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroler.exe		Общий	Да	Блокировать	Нет	C:\users\maks\source\repos\webapicontroler\webapicontroler\bin\debug\netcoreapp3.1\webapicontroler.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroler.exe		Общий	Да	Блокировать	Нет	C:\users\maks\source\repos\webapicontroler\webapicontroler\bin\release\netcoreapp3.1\webapicontroler.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroler.exe		Общий	Да	Разрешить	Нет	C:\users\maks\source\repos\webapicontroler\webapicontroler\bin\release\netcoreapp3.1\win-x64\webapicontroler.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroler.exe		Общий	Да	Блокировать	Нет	C:\users\maks\source\repos\webapicontroler\webapicontroler\bin\debug\netcoreapp3.1\webapicontroler.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroler.exe		Общий	Да	Блокировать	Нет	C:\users\maks\source\repos\webapicontroler\webapicontroler\bin\release\netcoreapp3.1\publish\webapicontroler.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroler.exe		Общий	Да	Блокировать	Нет	C:\users\maks\source\repos\webapicontroler\webapicontroler\bin\release\netcoreapp3.1\publish\webapicontroler.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroler.exe		Общий	Да	Блокировать	Нет	C:\users\maks\source\repos\webapicontroler\webapicontroler\bin\release\netcoreapp3.1\webapicontroler.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroler.exe		Общий	Да	Блокировать	Нет	C:\users\maks\source\repos\webapicontroler\webapicontroler\bin\release\netcoreapp3.1\win-x86\webapicontroler.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroler.exe		Общий	Да	Разрешить	Нет	C:\users\maks\source\repos\webapicontroler\webapicontroler\bin\release\netcoreapp3.1\win-x64\webapicontroler.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroler.exe		Общий	Да	Блокировать	Нет	C:\users\maks\source\repos\webapicontroler\webapicontroler\bin\release\netcoreapp3.1\win-x86\webapicontroler.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroller.exe		Общий	Да	Разрешить	Нет	C:\users\maks\desktop\betarelease\scoreboard-server\webapicontroler\bin\release\netcoreapp3.1\publish\webapicontroller.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroller.exe		Общий	Да	Блокировать	Нет	C:\users\maks\desktop\workdevelop\scoreboard-server\webapicontroler\bin\release\netcoreapp3.1\win-x86\webapicontroller.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroller.exe		Общий	Да	Блокировать	Нет	C:\users\maks\source\repos\webapicontroler\webapicontroler\bin\release\netcoreapp3.1\win-x86\webapicontroller.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroller.exe		Общий	Да	Блокировать	Нет	C:\users\maks\desktop\betarelease\scoreboard-server\webapicontroler\bin\release\netcoreapp3.1\win-x86\webapicontroller.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroller.exe		Общий	Да	Блокировать	Нет	C:\users\maks\desktop\betarelease\scoreboard-server\webapicontroler\bin\release\netcoreapp3.1\webapicontroller.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroller.exe		Общий	Да	Блокировать	Нет	C:\users\maks\source\repos\webapicontroler\webapicontroler\bin\release\netcoreapp3.1\win-x86\webapicontroller.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroller.exe		Общий	Да	Разрешить	Нет	C:\users\maks\desktop\betarelease\scoreboard-server\webapicontroler\bin\release\netcoreapp3.1\publish\webapicontroller.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroller.exe		Общий	Да	Блокировать	Нет	C:\users\maks\desktop\betarelease\scoreboard-server\webapicontroler\bin\release\netcoreapp3.1\webapicontroller.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroller.exe		Общий	Да	Блокировать	Нет	C:\users\maks\desktop\betarelease\scoreboard-server\webapicontroler\bin\release\netcoreapp3.1\win-x86\webapicontroller.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
webapicontroller.exe		Общий	Да	Блокировать	Нет	C:\users\maks\desktop\workdevelop\scoreboard-server\webapicontroler\bin\release\netcoreapp3.1\win-x86\webapicontroller.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
windows10iotcoredashboard.exe		Общий	Да	Разрешить	Нет	C:\users\maks\appdata\local\apps\2.0\zep4o5hn.glg\znpevp0q.enp\wind..tion_5329ec537c0b4b5c_0001.0000_7f3f5428f8a2a694\windows10iotcoredashboard.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
windows10iotcoredashboard.exe		Общий	Да	Разрешить	Нет	C:\users\maks\appdata\local\apps\2.0\zep4o5hn.glg\znpevp0q.enp\wind..tion_5329ec537c0b4b5c_0001.0000_7f3f5428f8a2a694\windows10iotcoredashboard.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
@FirewallAPI.dll,-80201	@FirewallAPI.dll,-80200	Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	554, 8554-8558	Любой	Любой	Любой	Любой	Любой	Любой	
@FirewallAPI.dll,-80206	@FirewallAPI.dll,-80200	Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	5000-5020	Любой	Любой	Любой	Любой	Любой	Любой	
@netlogon.dll,-1003	@netlogon.dll,-1010	Все	Нет	Разрешить	Нет	System	Любой	Любой	TCP	445	Любой	Любой	Любой	Любой	Любой	Любой	
@netlogon.dll,-1008	@netlogon.dll,-1010	Все	Нет	Разрешить	Нет	%SystemRoot%\System32\lsass.exe	Любой	Любой	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
backiee - Wallpaper Studio 10	backiee - Wallpaper Studio 10	Домен, Частный	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	35010GOOD2CREATE.LIVELOCKTHEMES_cxjy25q2av1xg	
Обнаружение кэширующих узлов BranchCache (входящий трафик WSD)	BranchCache - обнаружение кэширующих узлов (использует WSD)	Все	Нет	Разрешить	Нет	%systemroot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	3702	Любой	Любой	Любой	Любой	Любой	Любой	
Получение содержимого BranchCache (входящий трафик HTTP)	BranchCache - получение содержимого (использует HTTP)	Все	Нет	Разрешить	Нет	SYSTEM	Любой	Любой	TCP	80	Любой	Любой	Любой	Любой	Любой	Любой	
Сервер размещенного кэша BranchCache (входящий трафик HTTP)	BranchCache - сервер размещенного кэша (используется HTTPS)	Все	Нет	Разрешить	Нет	SYSTEM	Любой	Любой	TCP	80, 443	Любой	Любой	Любой	Любой	Любой	Любой	
Canon Office Printer Utility	Canon Office Printer Utility	Все	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	34791e63.canonofficeprinterutility_6e5tt8cgb93ep	
Cortana	Cortana	Все	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	Microsoft.549981C3F5F10_8wekyb3d8bbwe	
EdgeDevtoolsPlugin	EdgeDevtoolsPlugin	Все	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	Microsoft.EdgeDevtoolsPlugin_cw5n1h2txyewy	
Google Chrome (mDNS-In)	Google Chrome	Все	Да	Разрешить	Нет	C:\Program Files (x86)\Google\Chrome\Application\chrome.exe	Любой	Любой	UDP	5353	Любой	Любой	Любой	Любой	Любой	Любой	
Прослушиватель HTTP реплики Hyper-V (входящий трафик TCP)	HTTP реплики Hyper-V	Все	Нет	Разрешить	Нет	System	Любой	Любой	TCP	80	Любой	Любой	Любой	Любой	Любой	Любой	
Прослушиватель HTTPS реплики Hyper-V (входящий трафик TCP)	HTTPS реплики Hyper-V	Все	Нет	Разрешить	Нет	System	Любой	Любой	TCP	443	Любой	Любой	Любой	Любой	Любой	Любой	
Hyper-V - WMI (DCOM - входящий трафик)	Hyper-V	Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	135	Любой	Любой	Любой	Любой	Любой	Любой	
Hyper-V - WMI (TCP - входящий трафик)	Hyper-V	Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Hyper-V - WMI (асинхронный входящий трафик)	Hyper-V	Все	Да	Разрешить	Нет	%systemroot%\system32\wbem\unsecapp.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Hyper-V (MIG-TCP - входящий трафик)	Hyper-V	Все	Да	Разрешить	Нет	%systemroot%\system32\vmms.exe	Любой	Любой	TCP	6600	Любой	Любой	Любой	Любой	Любой	Любой	
Hyper-V (REMOTE_DESKTOP_TCP_IN)	Hyper-V	Все	Да	Разрешить	Нет	%systemroot%\system32\vmms.exe	Любой	Любой	TCP	2179	Любой	Любой	Любой	Любой	Любой	Любой	
Hyper-V (RPC)	Hyper-V	Все	Да	Разрешить	Нет	System	Любой	Любой	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Hyper-V (RPC-EPMAP)	Hyper-V	Все	Да	Разрешить	Нет	System	Любой	Любой	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
mDNS (UDP-In)	mDNS	Общий	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	5353	Любой	Любой	Любой	Любой	Любой	Любой	
mDNS (UDP-In)	mDNS	Частный	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	5353	Любой	Любой	Любой	Любой	Любой	Любой	
mDNS (UDP-In)	mDNS	Домен	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	UDP	5353	Любой	Любой	Любой	Любой	Любой	Любой	
Microsoft Edge	Microsoft Edge	Домен, Частный	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	Microsoft.MicrosoftEdge_8wekyb3d8bbwe	
Microsoft Edge (mDNS-In)	Microsoft Edge	Все	Да	Разрешить	Нет	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	Любой	Любой	UDP	5353	Любой	Любой	Любой	Любой	Любой	Любой	
Microsoft Store	Microsoft Store	Все	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	Microsoft.WindowsStore_8wekyb3d8bbwe	
OpenSSH SSH Server (sshd)	OpenSSH Server	Все	Да	Разрешить	Нет	%SystemRoot%\system32\OpenSSH\sshd.exe	Любой	Любой	TCP	22	Любой	Любой	Любой	Любой	Любой	Любой	
Secure Socket Tunneling Protocol (SSTP-входящий)	Secure Socket Tunneling Protocol	Все	Нет	Разрешить	Нет	System	Любой	Любой	TCP	443	Любой	Любой	Любой	Любой	Любой	Любой	
Xbox Game Bar	Xbox Game Bar	Все	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	Microsoft.XboxGamingOverlay_8wekyb3d8bbwe	
Беспроводной дисплей (входящий трафик TCP)	Беспроводной дисплей	Все	Да	Разрешить	Нет	%systemroot%\system32\WUDFHost.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	NT AUTHORITY\USER MODE DRIVERS	Любой	Любой	
Обратный канал инфраструктуры беспроводного дисплея (TCP-In)	Беспроводной дисплей	Все	Да	Разрешить	Нет	%systemroot%\system32\CastSrv.exe	Любой	Любой	TCP	7250	Любой	Любой	Любой	Любой	Любой	Любой	
Беспроводные переносные устройства (SSDP - входящий)	Беспроводные переносные устройства	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	1900	Любой	Любой	Любой	Любой	Любой	Любой	
Беспроводные переносные устройства (UPnP - входящий)	Беспроводные переносные устройства	Все	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	2869	Любой	Любой	Любой	Любой	Любой	Любой	
Ваш телефон	Ваш телефон	Домен, Частный	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	Microsoft.YourPhone_8wekyb3d8bbwe	
Ваша учетная запись	Ваша учетная запись	Домен, Частный	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy	
Удаленный рабочий стол — (TCP-WS-In)	Веб-доступ к удаленным рабочим столам (WebSocket)	Все	Нет	Разрешить	Нет	System	Любой	Любой	TCP	3387	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленный рабочий стол — (TCP-WSS — входящий трафик)	Веб-доступ к удаленным рабочим столам (WebSocket)	Все	Нет	Разрешить	Нет	System	Любой	Любой	TCP	3392	Любой	Любой	Любой	Любой	Любой	Любой	
Веб-средство просмотра классических приложений	Веб-средство просмотра классических приложений	Все	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	Microsoft.Win32WebViewHost_cw5n1h2txyewy	
Диагностика основных сетей – запрос проверки связи ICMP (входящий трафик ICMPv4)	Диагностика основных сетей	Домен	Нет	Разрешить	Нет	System	Любой	Любой	ICMPv4	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Диагностика основных сетей – запрос проверки связи ICMP (входящий трафик ICMPv4)	Диагностика основных сетей	Частный, Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	ICMPv4	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Диагностика основных сетей – запрос проверки связи ICMP (входящий трафик ICMPv6)	Диагностика основных сетей	Домен	Нет	Разрешить	Нет	System	Любой	Любой	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Диагностика основных сетей – запрос проверки связи ICMP (входящий трафик ICMPv6)	Диагностика основных сетей	Частный, Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
